이름	설명	타입	값	단위	산출방식	비고
[카메라]						
Camera_Projection	카메라 투영 방식	string	Perspective	-	확정값	변경 금지 항목
Camera_Pitch	카메라 상하 각도	float	-50	도	확정값	변경 금지 항목
Camera_Yaw	카메라 좌우 각도	float	0	도	확정값	화면 오른쪽 = +Y
Camera_Distance	카메라 거리	float	2000	uu	확정값	스프링암 길이
Camera_FOV	시야각	float	45	도	확정값	수평 기준
Camera_View_HalfWidth	초점거리에서 수평 가시 반폭	float	828	uu	Distance x tan(FOV/2)	오브젝트 배치 가시성 판정 기준
[플레이어]						
Player_MaxHealth	플레이어 체력	float	100	-	확정값	
Player_Attack_Damage	플레이어 공격력	float	34	-	확정값	반경 내 다중 타격
Player_Attack_Range	공격 전방 오프셋	float	140	uu	확정값	
Player_Attack_Radius	공격 판정 반경	float	170	uu	확정값	
Player_Attack_Cooldown	공격 쿨다운	float	0.35	초	확정값	
Player_Dash_Distance	대시 이동 거리	float	450	uu	확정값	다리 간극 700uu 를 못 넘는 근거
Player_Dash_Speed	대시 속도	float	1600	uu/s	확정값	
Player_Dash_Cooldown	대시 쿨다운	float	0.8	초	확정값	
Player_KillZ	낙하 사망 높이	float	-1750	uu	최저 바닥 하단(-1660)보다 아래	높이만으로 판정, XY 판정 없음
[다리 / 중간보스 문]						
Bridge_Monster_Speed	다리 몬스터 이동속도	float	410	uu/s	(거리 1860 - 공격사거리 150) / 목표 도착 4초	실측 250 에서 6.62초 나온 값으로 역산해 확정
Bridge_Door_dist	스폰 지점 → 문 거리	float	1860	uu	스폰박스 서쪽면 X4440 → 문 X6300	2D 직선거리
Monster_Moving_Sec	몬스터 도착 시간	float	4.17	초	(1860 - 150) / 410	설계 목표는 4초. 실제 계산값 4.17초
Monster_FirstHit_Sec	스폰→첫 피격 실측	float	2.78	초	PIE 실측	플레이어가 문 앞 정지가 아니라 이동 중이던 값. 참고용
Interection_Sec	문 상호작용 시간	float	5	초	역산	몬스터 이동속도와 거리를 통해 역산. 도착 4.17초 < 홀드 5초
Bridge_Monster_respawn	다리 몬스터 리스폰 시간	float	0.1	초	확정값	사망 했을 시에만 리스폰
Bridge_Monster_Count	동시 등장 몬스터 수	int	1	마리	확정값	1마리씩 연속 리스폰
Bridge_Monster_HP	다리 몬스터 체력	float	34	-	확정값	플레이어 공격 1회로 처치
Bridge_Monster_Damage	다리 몬스터 공격력	float	10	-	확정값	
Bridge_Monster_AttackDelay	몬스터 공격 간격	float	1.5	초	확정값	전 몬스터 공통
Bridge_Monster_AttackRange	몬스터 공격 사거리	float	150	uu	확정값	
Bridge_ArmLine_X	추격 발동 X 좌표	float	4760	uu	스폰박스 동쪽면	플레이어가 이 X 를 넘으면 스폰 시작
Bridge_Des_Attack	다리 파괴시 피격 횟수	int	8	회	확정값	HP 없음. 타격 횟수만 카운트
Bridge_Break_Side	파괴 가능 방향	string	동쪽만	-	확정값	발밑에서 무너뜨려 고립되는 것 방지
Bridge_Break_Gap	파괴 후 간극	float	700	uu	약한 구간 X4900~5600	대시 450uu 로 도약 불가
Bridge_Drop_Distance	파괴 낙하 거리	float	1400	uu	확정값	연출용
Bridge_Drop_Duration	파괴 낙하 시간	float	0.6	초	확정값	
Bridge_Restore_Sec	다리 복구 시간	float	0	초	확정값	레버 E 입력 시 즉시 복구
Door_Interact_Radius	문 상호작용 반경	float	250	uu	확정값	
Door_Open_Distance	문 하강 거리	float	620	uu	확정값	
Door_Open_Duration	문 개방 시간	float	1.0	초	확정값	하강 + 페이드 동시
[중간보스 / 계단]						
MidBoss_HP	중간보스 체력	float	100	-	실효값 (선언값 34)	SpawnActor 후 MaxHealth 를 대입해 BeginPlay 가 이미 100 을 복사함. 선언 34 는 클램프 상한으로만 작동
MidBoss_Speed	중간보스 이동속도	float	120	uu/s	확정값	
MidBoss_Damage	중간보스 공격력	float	0	-	확정값	전투 난이도 배제 목적
MidBoss_HitsToKill	처치 필요 타격 수	int	2	회	PIE 실측	1타에서 클램프가 100을 34로 내리고 2타에 사망. 의도된 값이 아니라 스폰 순서 문제의 결과
Stair_Auto_Delay	처치 후 계단 자동 작동 지연	float	2.0	초	확정값	레버 조작 불필요
