구분,항목,값,단위,포트폴리오 위치,산출·근거,프로젝트 실제값 대조
중간보스 문,문 상호작용 시간,5.0,초,p.7 / p.8,확정값,일치 (HoldSeconds 5.0)
중간보스 문,몬스터 스폰 지연,0.1,초,p.8,확정값,△ 프로젝트에서는 '사망 후 리스폰 지연'
중간보스 문,스폰 지점 → 문 최장 거리,"1,860",uu,p.8,스폰박스 서쪽면 X4440 → 문 X6300,일치
중간보스 문,몬스터 공격 사거리,150,uu,p.8,확정값,일치 (AttackRange 150)
중간보스 문,목표 도달 시간,4.2,초,p.8,설계 목표,△ 410 적용 시 실제 4.17초
중간보스 문,역산 이동속도,407.1428,uu/s,p.8,"(1,860 - 150) ÷ 4.2",계산식 검산 일치
중간보스 문,최종 적용 이동속도,410,uu/s,p.8,407.14 반올림 후 플레이테스트로 확정,일치 (EnemyMoveSpeed 410)
최종 퍼즐,힌트 색 개수,3,색,p.16,확정값,일치 (Hint_Color_Count 3)
플레이 결과,A 힌트 확인 후 클리어,44.52,초,p.16,PIE 실측,일치
플레이 결과,B 힌트 미확인 · 오답 1회,57.04,초,p.16,PIE 실측,일치
플레이 결과,C 힌트 미확인 · 레버 복구,64.08,초,p.16,PIE 실측,일치
